hypernym(00260881,00260622).
derivationally_related_form(01127215,02796412).
verb_group(01353405,01354006).
derivationally_related_form(06598445,00599992).
member_meronym(13215936,13216238).
hypernym(00599329,00586262).
hypernym(00695761,00695226).
hypernym(07683617,07682624).
derivationally_related_form(02946921,00213794).
derivationally_related_form(01702514,10528493).
derivationally_related_form(02400378,00644967).
instance_hypernym(09449773,09411430).
derivationally_related_form(10712573,02202133).
hypernym(01563575,01563005).
has_part(13651218,13651804).
hypernym(02279442,01759182).
derivationally_related_form(00394813,00382109).
synset_domain_topic_of(01734300,00543233).
hypernym(09846265,00007846).
hypernym(12952022,13167078).
member_meronym(01524885,01525720).
hypernym(12769663,11567411).
member_meronym(12532720,12532886).
hypernym(13065215,11592146).
hypernym(09820044,10015897).
hypernym(00838367,00838098).
derivationally_related_form(00506040,11449907).
member_meronym(12045352,12045514).
synset_domain_topic_of(02795978,07020895).
derivationally_related_form(03872495,01526956).
derivationally_related_form(00736216,00634276).
has_part(09031653,09032843).
also_see(01528069,02713372).
derivationally_related_form(02405390,00197419).
instance_hypernym(09338910,09388848).
derivationally_related_form(01778568,02011810).
hypernym(10171755,10386312).
hypernym(12945549,13122364).
hypernym(05259512,05256862).
derivationally_related_form(07106502,00839834).
member_meronym(12927354,12927494).
derivationally_related_form(13913566,01662771).
hypernym(00182406,00156601).
instance_hypernym(09323470,09411430).
hypernym(02852173,03665366).
derivationally_related_form(00575365,01894520).
instance_hypernym(09029457,08698379).
instance_hypernym(06431496,06429590).
member_meronym(01711662,01713310).
has_part(03795976,03637027).
hypernym(02103841,02103406).
hypernym(14204950,14052046).
hypernym(01790020,01759326).
derivationally_related_form(00680145,06201908).
instance_hypernym(09251832,09360122).
hypernym(14777939,14778019).
hypernym(02636921,00930368).
derivationally_related_form(00698609,00084107).
hypernym(00790086,00202284).
derivationally_related_form(00880662,02150948).
member_meronym(11786983,11787190).
derivationally_related_form(00378664,13480848).
derivationally_related_form(14498096,00426608).
hypernym(00532886,00126264).
has_part(04402746,04373264).
derivationally_related_form(10546850,08152657).
derivationally_related_form(01834304,05151088).
member_meronym(02283728,02285052).
hypernym(13503908,00029677).
hypernym(07423560,07296428).
member_meronym(12975608,12975804).
member_meronym(08295138,09020440).
hypernym(02719399,02604760).
hypernym(08459252,08457976).
derivationally_related_form(00522068,07073447).
hypernym(14333433,14322699).
derivationally_related_form(02222318,09267490).
derivationally_related_form(10561320,00849332).
derivationally_related_form(02267060,01122149).
hypernym(07734555,07710007).
derivationally_related_form(00007549,10616670).
hypernym(00459498,02367363).
derivationally_related_form(01641914,10434725).
derivationally_related_form(01147950,00462092).
has_part(04490091,04105438).
has_part(06449735,06436183).
hypernym(01139000,01138670).
member_meronym(08295138,09017526).
hypernym(06253690,00033020).
hypernym(12092262,12205694).
derivationally_related_form(08871007,03003344).
derivationally_related_form(00756598,01076953).
instance_hypernym(09351647,09411430).
hypernym(09247071,09466280).
hypernym(13221383,08103777).
also_see(01552519,01549719).
hypernym(12990407,11592146).
hypernym(02344381,02367363).
member_meronym(12060380,12060546).
hypernym(12710917,12708293).
derivationally_related_form(01058036,00353249).
hypernym(06958615,06956287).
hypernym(10739636,09631463).
verb_group(01733213,01732921).
hypernym(13028070,08103777).
has_part(09049599,09141526).
hypernym(00724029,00637259).
has_part(02775483,03006626).
derivationally_related_form(01255935,01731353).
hypernym(08006094,07996689).
derivationally_related_form(00218427,00470701).
hypernym(02693168,02690708).
hypernym(00234105,00216174).
hypernym(05220306,05219561).
hypernym(08109624,07992450).
synset_domain_topic_of(03797703,06988057).
hypernym(12891093,13122364).
derivationally_related_form(02563860,03017922).
derivationally_related_form(00394803,00194534).
derivationally_related_form(00190115,05675905).
hypernym(07436475,07307754).
hypernym(01433294,01435380).
derivationally_related_form(00182406,01417451).
instance_hypernym(08812166,08524735).
hypernym(12925836,11585340).
also_see(01740892,02512922).
derivationally_related_form(10524223,00694068).
hypernym(00066977,00066191).
hypernym(14248541,14236226).
hypernym(12204032,12202936).
hypernym(02252931,02253154).
member_meronym(01998019,01998467).
hypernym(01044533,00941990).
derivationally_related_form(09911570,01051956).
derivationally_related_form(00872886,06650701).
derivationally_related_form(01968569,00324384).
hypernym(02084071,01317541).
hypernym(00915423,00912473).
hypernym(00722848,00722232).
derivationally_related_form(01389007,14082595).
derivationally_related_form(13754293,00156601).
hypernym(00849332,01742886).
derivationally_related_form(01157517,00356199).
derivationally_related_form(00865387,07125096).
has_part(03859000,04154152).
hypernym(02082498,01862557).
derivationally_related_form(13905572,01985757).
derivationally_related_form(00048912,03236735).
has_part(08973330,09371151).
hypernym(01398682,01411085).
hypernym(08101410,08101085).
hypernym(13031690,11590783).
member_meronym(02306159,02308325).
hypernym(04904851,04904664).
hypernym(03824381,03825080).
has_part(09339810,09260010).
derivationally_related_form(01447632,00113113).
member_meronym(01524885,01594157).
hypernym(07224774,07224151).
derivationally_related_form(10205457,02799593).
derivationally_related_form(00904548,04807971).
member_meronym(02012715,02012849).
member_meronym(12930044,12931449).
hypernym(02458747,00782057).
instance_hypernym(09384223,09403734).
derivationally_related_form(00273449,01799794).
member_meronym(02429695,02430045).
hypernym(02269196,02159955).
derivationally_related_form(00045646,01381549).
hypernym(01821132,01821423).
has_part(05510506,05529729).
member_of_domain_region(09039411,08029908).
derivationally_related_form(06818747,00662182).
has_part(09060768,09063673).
also_see(00918580,01139104).
member_meronym(01873850,01874126).
derivationally_related_form(02128286,10786517).
hypernym(06792645,06791372).
hypernym(00355365,01510576).
hypernym(12644902,12651821).
derivationally_related_form(02466670,10253995).
has_part(00003553,04164989).
hypernym(12941360,12930044).
derivationally_related_form(06182144,10705615).
hypernym(06421685,06421301).
hypernym(07082573,07071483).
hypernym(05046471,05046009).
has_part(09209263,09210236).
derivationally_related_form(13771828,13771404).
derivationally_related_form(05154908,02547586).
derivationally_related_form(02106006,00876874).
instance_hypernym(10902934,10123844).
derivationally_related_form(02082690,02903204).
hypernym(11889473,11575425).
hypernym(01020936,01019524).
hypernym(01629276,01627424).
hypernym(02017335,01507175).
derivationally_related_form(03133141,10422540).
member_meronym(02423787,02424695).
derivationally_related_form(13940456,00544549).
derivationally_related_form(03137228,01912159).
hypernym(13215063,13167078).
derivationally_related_form(02126686,05714745).
hypernym(13477934,13440063).
hypernym(02435689,01862557).
derivationally_related_form(00731159,00952214).
hypernym(13464820,00029677).
hypernym(14257779,14336539).
derivationally_related_form(02507736,07372565).
hypernym(00992518,00992041).
hypernym(00310666,00306426).
derivationally_related_form(01634424,06757891).
hypernym(13171797,12957076).
also_see(00808191,00873603).
hypernym(05397468,05263850).
hypernym(12743680,11567411).
derivationally_related_form(01067577,02752567).
hypernym(14322248,14533203).
hypernym(01752316,01621555).
hypernym(11909527,12205694).
derivationally_related_form(01215137,09879144).
derivationally_related_form(01155421,03386011).
derivationally_related_form(13582013,00235918).
member_of_domain_usage(06845599,04034884).
derivationally_related_form(14026592,00020671).
also_see(01115349,01222360).
member_meronym(01313093,02313195).
hypernym(01061333,00407535).
hypernym(02564130,01432517).
hypernym(03809686,02715513).
hypernym(12673178,11579418).
derivationally_related_form(00804802,07181546).
member_of_domain_region(08820121,01088304).
verb_group(02054989,01368863).
derivationally_related_form(00340989,02048891).
hypernym(07170753,06738281).
derivationally_related_form(00753428,06513366).
synset_domain_topic_of(09835506,00471613).
member_of_domain_region(08860123,07182485).
derivationally_related_form(01261491,07840804).
hypernym(00850986,00850425).
member_meronym(08176077,08738272).
member_meronym(02429695,02435099).
hypernym(12558230,12557995).
hypernym(07483622,00026192).
member_of_domain_usage(06845599,03440024).
derivationally_related_form(01285440,00149084).
derivationally_related_form(02923510,08095647).
derivationally_related_form(00845523,01428853).
derivationally_related_form(04904352,01764800).
hypernym(04186455,03045337).
has_part(09248477,09237076).
hypernym(12432808,12431434).
instance_hypernym(10901589,10453533).
member_meronym(02517169,02518813).
member_meronym(08716219,09693809).
derivationally_related_form(02726884,14030820).
derivationally_related_form(01926031,09830629).
derivationally_related_form(14788714,02672886).
hypernym(13054560,12992868).
derivationally_related_form(13905405,01275762).
has_part(08897065,08899577).
hypernym(14276360,14276649).
also_see(01982646,01226240).
member_meronym(12147031,12148610).
hypernym(10632576,10020890).
derivationally_related_form(02680814,07362075).
hypernym(08216900,08246613).
derivationally_related_form(01316619,10122300).
derivationally_related_form(02145543,01074694).
derivationally_related_form(13894434,00263231).
derivationally_related_form(11418138,00916909).
hypernym(12939104,12205694).
hypernym(12466727,12425281).
derivationally_related_form(01206849,10717589).
derivationally_related_form(00055142,00849982).
hypernym(00489496,00956405).
synset_domain_topic_of(13367593,08199025).
hypernym(00796886,00795720).
derivationally_related_form(00664483,05825245).
derivationally_related_form(13902482,00392960).
hypernym(04277204,02710766).
hypernym(00326619,00325328).
derivationally_related_form(01435380,10578762).
derivationally_related_form(01922763,07515560).
synset_domain_topic_of(02483908,06083243).
member_of_domain_region(08975902,08026197).
has_part(05486510,05494365).
instance_hypernym(09166902,08574314).
derivationally_related_form(00241038,00351638).
hypernym(02277448,02321391).
hypernym(02131653,02075296).
hypernym(14451349,14451020).
verb_group(00171852,00253761).
member_meronym(01954202,01954340).
hypernym(06740644,06740183).
hypernym(02679257,02938886).
member_meronym(12218621,12219289).
derivationally_related_form(00505802,04594489).
derivationally_related_form(00494269,14415518).
also_see(00036362,00025034).
hypernym(05246796,05246511).
hypernym(07560193,07570720).
synset_domain_topic_of(09593937,15253139).
hypernym(01953361,01942177).
hypernym(10418735,00007846).
hypernym(12498316,11585340).
hypernym(13783581,00031921).
hypernym(11801247,11567411).
has_part(06624161,07012534).
derivationally_related_form(01613391,04224155).
derivationally_related_form(10770767,02357873).
derivationally_related_form(07410745,01414916).
hypernym(00877127,00876874).
synset_domain_topic_of(13762836,06951067).
hypernym(01780696,01779629).
hypernym(10210648,10631941).
hypernym(02770830,04161358).
hypernym(10011486,10801291).
hypernym(07443010,07420770).
also_see(00550282,00684480).
hypernym(11899921,12205694).
hypernym(09953615,10628222).
hypernym(12912105,11579418).
derivationally_related_form(10381369,00277659).
hypernym(00084107,00083809).
hypernym(14160365,14151139).
hypernym(12658846,12658118).
hypernym(13725108,13717155).
has_part(12771597,07746186).
hypernym(13335172,13333833).
synset_domain_topic_of(01987781,06084469).
member_meronym(02469588,02469914).
derivationally_related_form(00904690,09798534).
derivationally_related_form(00366521,00318816).
derivationally_related_form(01048466,00028362).
derivationally_related_form(02265231,13354985).
hypernym(14475405,14473222).
hypernym(03277771,03183080).
has_part(08811215,08784905).
derivationally_related_form(00780889,02321757).
derivationally_related_form(13534954,01457954).
instance_hypernym(08786432,08633957).
hypernym(13722522,13716878).
member_meronym(08367880,08256968).
hypernym(01972131,01971280).
hypernym(01820190,01504437).
hypernym(00783902,00780889).
derivationally_related_form(01868370,07351909).
hypernym(07518468,07518261).
member_meronym(02207942,02208143).
hypernym(02666882,02666239).
derivationally_related_form(01893988,00331655).
derivationally_related_form(01435380,00201671).
derivationally_related_form(00548266,07320176).
hypernym(08398179,08208016).
instance_hypernym(08727396,08524735).
hypernym(00403967,00296178).
derivationally_related_form(05829782,01813499).
derivationally_related_form(01782519,04828255).
member_of_domain_region(08860123,02463990).
has_part(13649791,13712428).
derivationally_related_form(02333689,08513718).
member_meronym(02535349,02537319).
synset_domain_topic_of(11677259,06066555).
member_meronym(12049134,12049282).
hypernym(08618379,08520401).
derivationally_related_form(09861059,01423929).
derivationally_related_form(01627965,02566528).
hypernym(09951070,09951274).
hypernym(14634591,14904661).
hypernym(15158816,15157225).
hypernym(03231912,03944672).
has_part(04606574,03594277).
derivationally_related_form(00369628,14633206).
also_see(01350449,01375637).
hypernym(13684140,13604718).
derivationally_related_form(03563710,01528821).
hypernym(14591091,14586258).
derivationally_related_form(00941990,05302499).
instance_hypernym(11117451,09818343).
also_see(01111016,02099019).
member_meronym(11715207,11715810).
derivationally_related_form(11439031,02042404).
derivationally_related_form(01466978,02928413).
hypernym(14456138,13920835).
derivationally_related_form(00439343,02670186).
hypernym(07753980,07753743).
derivationally_related_form(00834460,00005526).
derivationally_related_form(00928371,01639714).
derivationally_related_form(01703857,07053732).
derivationally_related_form(01128984,02386845).
derivationally_related_form(14585519,01542252).
also_see(01493741,01800422).
derivationally_related_form(10279018,02958343).
derivationally_related_form(00877127,02130524).
hypernym(02391803,02475922).
hypernym(06596179,06595351).
hypernym(01985493,01985128).
hypernym(02546744,01429349).
synset_domain_topic_of(00954751,08199025).
derivationally_related_form(02741149,05623628).
hypernym(07125958,07125523).
derivationally_related_form(02640440,01063350).
derivationally_related_form(07434473,00504270).
derivationally_related_form(00240571,00365471).
derivationally_related_form(01177118,03201208).
derivationally_related_form(08324514,02349212).
derivationally_related_form(02642814,10478626).
instance_hypernym(08852843,08702402).
derivationally_related_form(01340439,04777098).
derivationally_related_form(01245986,04947628).
derivationally_related_form(01414916,00133668).
hypernym(10160770,10340312).
derivationally_related_form(02061495,04149374).
derivationally_related_form(10552742,00851933).
derivationally_related_form(00782057,07187996).
verb_group(02743020,02673134).
hypernym(04861486,04616059).
has_part(09148970,09405515).
derivationally_related_form(05755883,00607114).
hypernym(10036929,10415037).
derivationally_related_form(01212519,00806314).
hypernym(04444345,03892891).
derivationally_related_form(01049266,02158587).
instance_hypernym(08895928,09316454).
derivationally_related_form(00798245,01506157).
derivationally_related_form(00850425,01429953).
member_meronym(12916356,12916511).
derivationally_related_form(07049713,09980090).
derivationally_related_form(02155799,07308889).
derivationally_related_form(00812580,05785067).
derivationally_related_form(00471711,09272468).
derivationally_related_form(01006239,04155310).
derivationally_related_form(03051540,00049197).
derivationally_related_form(00497705,13496517).
hypernym(09825096,09824609).
derivationally_related_form(00419644,01789514).
has_part(02793495,03500557).
derivationally_related_form(01782650,07519773).
synset_domain_topic_of(09753065,05778131).
instance_hypernym(01303582,00962722).
has_part(09275016,09007723).
derivationally_related_form(01410606,04743605).
member_meronym(01767199,01788730).
verb_group(01904293,01874568).
derivationally_related_form(04849759,00360650).
hypernym(14628668,14625458).
derivationally_related_form(00417001,09626238).
hypernym(12607198,11556857).
derivationally_related_form(01130169,01049685).
hypernym(01663401,01662784).
synset_domain_topic_of(01681048,00933420).
derivationally_related_form(05910940,00678282).
hypernym(01455592,01429349).
derivationally_related_form(01031194,01274341).
hypernym(01757547,01657723).
derivationally_related_form(01051956,09911570).
hypernym(14806838,14580897).
derivationally_related_form(00621058,07232655).
derivationally_related_form(05141222,02500884).
hypernym(05139561,04723816).
derivationally_related_form(13845239,00960734).
hypernym(08357258,08357784).
derivationally_related_form(00233335,00808182).
hypernym(11746776,11566682).
hypernym(14552355,14548343).
verb_group(01869563,01870043).
derivationally_related_form(08236438,02449183).
hypernym(10010864,10042300).
hypernym(00145772,01387786).
derivationally_related_form(00159368,13424865).
member_meronym(12619306,12657940).
member_meronym(12165608,12165758).
synset_domain_topic_of(01583142,06004685).
hypernym(06365467,06362953).
hypernym(12678059,11579418).
hypernym(00189823,00187526).
hypernym(00759186,00757730).
derivationally_related_form(00779061,01062817).
has_part(08801678,09194357).
hypernym(05646926,05646218).
derivationally_related_form(02706816,10785869).
derivationally_related_form(00445940,09260466).
derivationally_related_form(10173895,01201100).
derivationally_related_form(01078235,01259380).
hypernym(06168855,06172789).
derivationally_related_form(01084180,02228901).
member_of_domain_usage(06845599,03371363).
hypernym(11692265,09257949).
derivationally_related_form(04620558,01229631).
derivationally_related_form(03113881,10552980).
member_of_domain_region(08929922,08168117).
derivationally_related_form(10699752,01807529).
member_of_domain_region(08860123,08311687).
hypernym(02799175,02799897).
hypernym(00135504,00134780).
derivationally_related_form(03699975,01624169).
hypernym(00731000,00690614).
hypernym(02492035,02489589).
hypernym(03970363,02896442).
derivationally_related_form(00336539,09243769).
hypernym(01965889,01955933).
hypernym(05905152,05902545).
hypernym(00958823,00958334).
instance_hypernym(08875369,08537837).
hypernym(12251278,12205694).
hypernym(02008396,02009433).
hypernym(02755529,04347754).
synset_domain_topic_of(04986883,06172789).
hypernym(12849061,12205694).
has_part(09159003,09373716).
derivationally_related_form(00600370,00582868).
hypernym(02072209,01862557).
hypernym(14464203,14462666).
hypernym(00365995,00365709).
hypernym(02091689,01904930).
derivationally_related_form(01158596,07884567).
derivationally_related_form(14702875,01332205).
hypernym(11644712,11554175).
hypernym(14389240,14388910).
derivationally_related_form(02127358,05655119).
synset_domain_topic_of(08427453,08199025).
hypernym(01466047,01463963).
hypernym(01776192,01769347).
synset_domain_topic_of(05799952,03082979).
derivationally_related_form(05652926,02102484).
derivationally_related_form(01199009,00837675).
derivationally_related_form(10433737,01180975).
member_meronym(12501745,12571606).
has_part(05596651,05275466).
has_part(06778102,06778777).
member_meronym(01883212,01885032).
hypernym(00799798,02477334).
derivationally_related_form(00006802,00834460).
hypernym(04766852,04766275).
hypernym(10672192,10437852).
instance_hypernym(09009490,08633957).
hypernym(02081571,02075927).
has_part(05324888,05277728).
member_meronym(02194414,02194599).
hypernym(00299680,00620752).
has_part(06589574,06258031).
derivationally_related_form(00072808,00639478).
member_meronym(12633386,12634734).
derivationally_related_form(02063018,00335384).
member_meronym(02229385,02229544).
member_meronym(12501745,12513426).
hypernym(07274425,01228102).
member_meronym(12761471,12761702).
derivationally_related_form(01552219,09385137).
hypernym(04005340,03851341).
hypernym(15256915,00033615).
derivationally_related_form(14616939,00487748).
member_of_domain_region(08766988,01271915).
hypernym(05378234,05418717).
hypernym(08651247,08673395).
derivationally_related_form(02582042,01182654).
has_part(08841667,09079153).
member_meronym(02188065,02199352).
member_meronym(02019762,02019929).
has_part(09111366,03163081).
derivationally_related_form(02072501,13649791).
derivationally_related_form(00854000,01424948).
hypernym(07519040,07518261).
member_meronym(02039942,02040113).
has_part(11612018,11612235).
member_of_domain_region(08860123,07631511).
hypernym(01743531,01742886).
also_see(02422685,00417413).
derivationally_related_form(07407970,02066510).
derivationally_related_form(00334996,00376400).
derivationally_related_form(09889170,06403969).
derivationally_related_form(07510625,00090186).
hypernym(13618180,13600822).
has_part(11508382,11509066).
hypernym(02012043,02543607).
hypernym(13356985,13356112).
hypernym(01928737,08102555).
hypernym(12880963,11579418).
hypernym(00852506,00851933).
derivationally_related_form(07217349,00901103).
has_part(05779116,06754184).
instance_hypernym(08848731,08700255).
hypernym(02117333,02116118).
hypernym(09919297,10632576).
derivationally_related_form(00289388,01924882).
derivationally_related_form(01800422,14440623).
hypernym(05101815,05129201).
derivationally_related_form(00940437,04822032).
derivationally_related_form(00998399,04063373).
hypernym(13118569,13112664).
similar_to(00780575,00779374).
hypernym(05323228,05299178).
hypernym(05766247,05793000).
hypernym(02640053,02144835).
hypernym(00588221,00588888).
hypernym(11635709,11623304).
derivationally_related_form(05808102,00933821).
derivationally_related_form(02329578,08101410).
derivationally_related_form(07487695,02137538).
has_part(08705397,08706247).
derivationally_related_form(00430140,01155687).
derivationally_related_form(08640111,01305542).
hypernym(08398773,07951464).
hypernym(04645599,04623612).
derivationally_related_form(01903385,07411851).
hypernym(00651480,00650353).
member_meronym(01733634,01733757).
derivationally_related_form(07556637,01167188).
hypernym(04333500,02784218).
hypernym(03450516,03859495).
derivationally_related_form(14822141,00370412).
synset_domain_topic_of(00083523,00612160).
derivationally_related_form(01675963,03579355).
hypernym(00823129,00822367).
derivationally_related_form(00442115,01904293).
hypernym(01469222,08103777).
member_meronym(01888520,01889328).
hypernym(02636170,02554730).
has_part(04530566,04544805).
member_meronym(02012306,02019566).
instance_hypernym(11075823,10123844).
hypernym(13333047,13329641).
hypernym(05565937,05221895).
hypernym(02168121,01759182).
derivationally_related_form(09903639,00682928).
hypernym(12254014,11575425).
hypernym(03673971,03323703).
derivationally_related_form(07350567,00387680).
derivationally_related_form(01861403,14010927).
derivationally_related_form(07518468,01787955).
derivationally_related_form(06416206,01626844).
derivationally_related_form(00776523,11414608).
hypernym(00497219,00497705).
hypernym(08502171,08630039).
hypernym(00044673,00030358).
derivationally_related_form(00978549,07131854).
hypernym(07658958,07653394).
hypernym(10628644,10164747).
derivationally_related_form(00392093,01854132).
also_see(01460421,01624633).
also_see(00311113,02516255).
hypernym(04021798,03736970).
instance_hypernym(11331669,10088390).
derivationally_related_form(04836491,00705517).
derivationally_related_form(01606736,00814458).
derivationally_related_form(00217700,02472693).
instance_hypernym(11301597,10020890).
hypernym(01073655,01073241).
hypernym(02573918,01429349).
derivationally_related_form(13841651,00713996).
derivationally_related_form(02285392,13368052).
hypernym(01890860,01889520).
hypernym(01861778,01471682).
hypernym(08192557,08192361).
hypernym(07291794,07291312).
derivationally_related_form(00126264,09609871).
derivationally_related_form(01353226,00263231).
hypernym(13504403,13489037).
hypernym(02633677,02632989).
hypernym(00374668,00126264).
member_meronym(08305766,08849753).
hypernym(13358549,13384557).
hypernym(02457585,02457233).
hypernym(01963655,01967373).
derivationally_related_form(10425946,05943300).
derivationally_related_form(07226545,00884011).
member_meronym(02660769,02661765).
hypernym(00985800,00983824).
derivationally_related_form(02578510,07450842).
member_meronym(11911591,11942875).
derivationally_related_form(00156625,02585050).
derivationally_related_form(01948573,10127273).
hypernym(12435152,12431434).
verb_group(00315330,00315020).
synset_domain_topic_of(11418750,06037666).
derivationally_related_form(14574846,00856578).
member_meronym(01421496,01422594).
derivationally_related_form(02336483,03405265).
hypernym(10470779,13950812).
hypernym(00287848,00286928).
hypernym(11953339,12205694).
hypernym(05236848,05236322).
hypernym(02282903,02281787).
member_meronym(02653655,02653965).
hypernym(01975880,01342529).
derivationally_related_form(00713952,01612084).
member_meronym(02600953,02602215).
member_meronym(08801678,09716047).
derivationally_related_form(01647229,10107303).
hypernym(03980178,03485997).
member_of_domain_usage(06717170,09638245).
member_meronym(01768969,01769347).
instance_hypernym(08995242,09453008).
hypernym(05540121,05269901).
hypernym(02581073,02536557).
hypernym(11958316,11579418).
verb_group(01725051,01726172).
derivationally_related_form(07346057,01877204).
hypernym(02251065,01128193).
hypernym(04561734,03309808).
derivationally_related_form(10616204,02276866).
derivationally_related_form(10477585,02591893).
hypernym(04005630,03111690).
has_part(13412721,13279262).
derivationally_related_form(02726717,03603958).
hypernym(03686658,03733925).
hypernym(00058337,00042757).
derivationally_related_form(00702434,13851067).
member_meronym(01774918,01775230).
hypernym(13480541,13482330).
derivationally_related_form(00053913,01511380).
member_meronym(01671874,01672275).
instance_hypernym(11226126,10453533).
hypernym(02655020,02652668).
hypernym(01578341,01504437).
member_meronym(01976477,01976957).
hypernym(01452798,02552171).
instance_hypernym(10815648,09947232).
hypernym(09990904,09990415).
member_meronym(11794267,11795774).
derivationally_related_form(00345926,01878063).
hypernym(00376715,00376400).
hypernym(00855933,00845909).
hypernym(02197545,01762525).
derivationally_related_form(02536557,10461747).
member_of_domain_region(08860123,03586631).
derivationally_related_form(13940456,02008066).
derivationally_related_form(14204950,10011074).
member_meronym(12671157,12671898).
hypernym(02176268,02123903).
derivationally_related_form(00315830,01566916).
derivationally_related_form(03200357,01167981).
derivationally_related_form(01811441,10185148).
hypernym(00443384,00109660).
synset_domain_topic_of(01364184,00243918).
derivationally_related_form(10214062,02019716).
derivationally_related_form(00213353,05717342).
has_part(05549830,05559727).
has_part(04043733,02705944).
hypernym(11994718,07673397).
hypernym(02187693,02176268).
derivationally_related_form(01034932,10659571).
derivationally_related_form(03045074,01321002).
member_of_domain_region(08860123,06792950).
derivationally_related_form(02074377,00059127).
derivationally_related_form(02461063,03599628).
derivationally_related_form(14442749,02644234).
derivationally_related_form(06121554,10460286).
derivationally_related_form(03061081,05996646).
hypernym(07658814,07656077).
derivationally_related_form(00671351,01169194).
verb_group(00753881,00792471).
member_of_domain_region(08780881,07870069).
derivationally_related_form(00060201,02074677).
derivationally_related_form(07203126,01009240).
hypernym(01296462,01354673).
hypernym(04714440,04731497).
hypernym(04019101,03100490).
derivationally_related_form(14415773,01823528).
derivationally_related_form(07532276,00883635).
hypernym(13990675,13920835).
synset_domain_topic_of(00266586,06084469).
hypernym(00642098,00637259).
hypernym(01161695,01158872).
member_meronym(02644967,02645304).
derivationally_related_form(01097960,01156438).
hypernym(11988774,11579418).
hypernym(10766492,10599806).
member_meronym(08295138,09018848).
derivationally_related_form(01812068,01265475).
hypernym(01810126,01809321).
hypernym(01057759,01057200).
derivationally_related_form(05194578,00747418).
hypernym(07288801,00029378).
has_part(15203565,15225249).
derivationally_related_form(10776339,01045419).
hypernym(01674544,01653013).
synset_domain_topic_of(10602695,08083599).
hypernym(14541044,00007347).
hypernym(01951107,01939598).
also_see(02058794,02523275).
derivationally_related_form(00856860,04629194).
hypernym(01408383,01387617).
has_part(03270165,07262704).
derivationally_related_form(08060446,01621555).
derivationally_related_form(00889740,01061203).
derivationally_related_form(00271879,00113853).
derivationally_related_form(02183175,10183556).
instance_hypernym(10828990,10537240).
hypernym(11820323,11573660).
has_part(01311520,01300782).
derivationally_related_form(00642379,04912982).
hypernym(01002413,00996969).
synset_domain_topic_of(01287388,06125698).
hypernym(02214203,01762525).
member_meronym(01523908,01524359).
has_part(09050730,09051898).
derivationally_related_form(03327234,01130607).
hypernym(02744280,02744061).
instance_hypernym(08948155,08574314).
derivationally_related_form(06806469,00836236).
hypernym(12882779,12205694).
derivationally_related_form(01086081,01178565).
derivationally_related_form(00056334,00849523).
derivationally_related_form(01133281,02436349).
hypernym(13007034,13875392).
hypernym(07476623,07475364).
has_part(09060768,09062961).
hypernym(01809784,00461493).
derivationally_related_form(00602805,00729108).
instance_hypernym(11301414,09798811).
member_meronym(12100538,12104614).
derivationally_related_form(06767922,00850192).
hypernym(07065740,07064715).
hypernym(10745332,10292192).
derivationally_related_form(01793177,00908672).
hypernym(14122497,14145095).
hypernym(01782209,01779629).
derivationally_related_form(05799212,01195299).
derivationally_related_form(00487350,14002109).
synset_domain_topic_of(05971621,06158346).
hypernym(07757132,07705931).
hypernym(13572436,13536016).
derivationally_related_form(02385634,00586262).
instance_hypernym(10954966,10123844).
derivationally_related_form(02806261,01202728).
derivationally_related_form(00835501,00005526).
derivationally_related_form(01079042,02629256).
derivationally_related_form(00282790,13483190).
member_meronym(02400139,02416410).
derivationally_related_form(00795720,02419773).
synset_domain_topic_of(08207095,08199025).
has_part(11832671,07720277).
synset_domain_topic_of(15156746,06095022).
hypernym(13452947,13459322).
hypernym(02150039,02131279).
hypernym(00254415,00251013).
derivationally_related_form(10507070,01051956).
member_meronym(12744656,12744850).
also_see(02137132,02141973).
has_part(09031653,09349192).
hypernym(04502851,03343853).
derivationally_related_form(07185076,02296726).
hypernym(08177030,08237699).
derivationally_related_form(01754737,00942234).
hypernym(08140767,08337324).
has_part(08735705,08703035).
member_meronym(02537847,02538010).
hypernym(00215838,00215683).
derivationally_related_form(10562749,02167571).
hypernym(01420451,01419982).
hypernym(13841213,00031921).
hypernym(13878112,13865483).
member_meronym(01487743,01487914).
hypernym(01443831,01439121).
derivationally_related_form(02152278,06598746).
similar_to(01257145,01256332).
derivationally_related_form(04635631,00039592).
derivationally_related_form(10769459,02268351).
synset_domain_topic_of(10329789,08083599).
derivationally_related_form(08681222,02033295).
member_of_domain_region(08929922,01295528).
member_meronym(01726960,01735062).
hypernym(06731186,06730563).
member_meronym(12998349,13074084).
derivationally_related_form(04683814,02748927).
derivationally_related_form(03789946,02226013).
synset_domain_topic_of(01741221,00918383).
hypernym(13010219,11590783).
hypernym(05035264,05203649).
hypernym(07236759,07236077).
hypernym(01624833,01621127).
derivationally_related_form(10068234,02531625).
hypernym(12641413,12651821).
derivationally_related_form(07291312,01620854).
derivationally_related_form(07285403,01771535).
derivationally_related_form(02291434,13256691).
hypernym(01998741,01998183).
derivationally_related_form(06214744,09945319).
hypernym(12573256,12205694).
derivationally_related_form(00830761,10252547).
has_part(08962610,08962951).
hypernym(00802946,00802318).
hypernym(04595855,03033362).
hypernym(01878803,01864707).
